BRD-A12230535, COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1
BRD-A12409803, CNC(=O)c1ccc2cc(C3(O)CCn4cncc43)ccc2c1
BRD-A12426960, O=C1CC(O)(CF)CCO1
BRD-A12560204, CCOC(=O)C1C(C)=NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
BRD-A12633378, Cc1cc(C)c(NC(=O)C2CC3CCC2C3)c(C)c1
BRD-A12643502, O=C(CCC1COc2ccccc2O1)Nc1ncccc1O
BRD-A12832192, CN([N+][O-])C(=O)NC1C(O)OC(CO)C(O)C1O
BRD-A12881497, NCCc1c[nH]c2ccc(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)cc12
BRD-A13020530, COC(=O)CS(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
BRD-A13084692, Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
BRD-A13122391, CC(C)[C@]12O[C@H]1[C@@H]1O[C@@]13[C@@]1(C)CCC4=C(COC4=O)C1C[C@@H]1O[C@@]13[C@@H]2O
BRD-A13133631, CC(=O)[C@@]1(O)CCC2C3C[C@H](C)C4=CC(=O)C=CC4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
BRD-A13188892, COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
BRD-A13195221, CCN(CC)c1ccc(C2Nc3ccccc3NC3=C2C(=O)CC(c2ccccc2)C3)cc1
BRD-A13346522, CCn1cc(CN2CCCC(C(=O)c3cccc(C(F)(F)F)c3)C2)cn1
BRD-A13367427, CC1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(C(=O)OC5OC(CO)C(OC6OCC(OC7OC(CO)C(O)C(O)C7O)C(OC7OCC(O)C(O)C7O)C6O)C(O)C5O)CCC34C)C2(C)C)C(O)C(O)C1OC1OCC(O)C(O)C1O
BRD-A13461302, CC1CC(=O)C2C(O)(C1)CC(O)C13OC1c1c(O)cccc1C(=O)C23O
BRD-A13650332, Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12
BRD-A13711138, C=CC[N@@+]12CC[C@]34c5ccccc5N5C=C6C7N(C=C(C53)[C@@H](C[C@@H]41)C(=CCO)C2)c1ccccc1[C@@]71CC[N@@+]2(CC=C)CC(=CCO)[C@H]6C[C@H]12
